,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,,2011-04-30T12:48:34.750000Z
1, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,,2011-04-30T17:48:30.350000Z
2, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,,2011-04-30T19:37:06.325000Z
3, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,,2011-04-30T20:11:03.825000Z
4, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T11:38:51.075000Z,
5, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T12:17:22.650000Z,
6, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T17:23:05.375000Z,
7, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T18:24:36.675000Z,
8, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T19:37:22.800000Z,
9, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T20:11:27.500000Z,
10, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2011-04-30T00:00:00.000000Z, , , , , ,2011-04-30T23:12:08.550000Z,
