,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T00:41:26.970000Z
1, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T00:53:40.310000Z
2, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T02:23:10.420000Z
3, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T11:13:37.300000Z
4, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T12:43:07.180000Z
5, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T12:53:06.780000Z
6, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T14:12:38.010000Z
7, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T14:42:37.820000Z
8, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T15:04:17.610000Z
9, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T17:53:55.900000Z
10, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T18:03:51.690000Z
11, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T18:36:23.080000Z
12, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T18:55:13.850000Z
13, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T19:50:04.260000Z
14, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T20:34:42.970000Z
15, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,,2011-10-03T23:48:57.800000Z
16, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T00:41:26.990000Z,
17, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T00:53:03.100000Z,
18, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T00:53:40.670000Z,
19, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T10:19:35.090000Z,
20, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T11:13:46.820000Z,
21, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T15:04:31.570000Z,
22, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T15:12:19.350000Z,
23, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T16:12:17.010000Z,
24, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T16:15:20.430000Z,
25, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T16:26:50.460000Z,
26, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T16:35:58.300000Z,
27, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T17:33:38.620000Z,
28, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T18:03:01.010000Z,
29, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T18:13:54.300000Z,
30, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T18:25:05.140000Z,
31, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T18:55:22.740000Z,
32, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T18:58:05.000000Z,
33, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T19:01:17.470000Z,
34, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T19:08:35.430000Z,
35, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T19:28:30.070000Z,
36, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T19:38:37.810000Z,
37, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T19:50:16.930000Z,
38, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T20:34:56.930000Z,
39, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T20:35:10.320000Z,
40, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T22:05:04.430000Z,
41, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T23:04:42.330000Z,
42, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T23:18:20.890000Z,
43, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2011-10-03T00:00:00.000000Z, , , , , ,2011-10-03T23:56:50.040000Z,
