,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,,2011-04-10T05:19:58.900000Z
1, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,,2011-04-10T13:10:46.550000Z
2, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,,2011-04-10T20:09:14.625000Z
3, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,,2011-04-10T22:04:58.500000Z
4, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T01:57:17.425000Z,
5, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T02:17:21.375000Z,
6, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T03:12:54.450000Z,
7, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T05:20:11.925000Z,
8, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T09:36:25.000000Z,
9, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T10:39:02.675000Z,
10, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T10:59:32.875000Z,
11, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T13:10:51.250000Z,
12, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T14:17:46.025000Z,
13, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2011-04-10T00:00:00.000000Z, , , , , ,2011-04-10T18:14:27.575000Z,
