,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T05:58:44.310000Z
1, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T09:47:32.085000Z
2, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T10:08:29.735000Z
3, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T15:11:09.435000Z
4, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T17:14:41.660000Z
5, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,,2011-08-05T20:55:55.635000Z
6, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T03:45:01.410000Z,
7, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T15:11:17.535000Z,
8, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T16:06:29.260000Z,
9, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T16:37:31.660000Z,
10, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T17:41:05.235000Z,
11, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2011-08-05T00:00:00.010000Z, , , , , ,2011-08-05T19:18:55.460000Z,
