,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T03:03:41.275000Z
1, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T06:24:16.425000Z
2, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T11:56:06.400000Z
3, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T16:00:32.825000Z
4, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T19:46:17.025000Z
5, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T23:03:11.100000Z
6, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,,2011-08-15T23:06:34.025000Z
7, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T01:39:41.600000Z,
8, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T03:03:41.350000Z,
9, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T05:22:27.125000Z,
10, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T06:24:32.075000Z,
11, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T13:59:14.425000Z,
12, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T16:00:59.525000Z,
13, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T23:03:22.750000Z,
14, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2011-08-15T00:00:00.000000Z, , , , , ,2011-08-15T23:07:03.250000Z,
