,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T03:50:59.980000Z
1, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T06:23:35.060000Z
2, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T14:31:02.390000Z
3, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T15:54:57.380000Z
4, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T17:41:27.900000Z
5, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T21:46:18.630000Z
6, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,,2011-08-24T23:29:15.800000Z
7, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T03:17:42.230000Z,
8, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T03:25:55.380000Z,
9, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T04:40:21.320000Z,
10, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T06:22:34.160000Z,
11, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T12:00:40.750000Z,
12, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T14:17:54.630000Z,
13, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T23:29:33.810000Z,
14, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2011-08-24T00:00:00.000000Z, , , , , ,2011-08-24T23:33:19.430000Z,
