,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T00:16:58.586000Z
1, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T11:10:09.806000Z
2, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T12:21:44.446000Z
3, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T12:26:42.406000Z
4, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T12:32:21.726000Z
5, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T13:12:32.906000Z
6, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T16:21:50.026000Z
7, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T18:29:21.726000Z
8, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T19:47:10.446000Z
9, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,,2011-06-25T20:25:43.026000Z
10, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T02:00:46.706000Z,
11, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T02:07:37.486000Z,
12, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T02:33:30.526000Z,
13, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T04:28:09.546000Z,
14, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T05:12:08.066000Z,
15, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T05:19:08.986000Z,
16, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T07:11:39.166000Z,
17, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T08:02:14.766000Z,
18, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T08:36:42.206000Z,
19, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T08:49:16.506000Z,
20, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T10:27:10.926000Z,
21, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T10:39:27.546000Z,
22, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T11:02:30.866000Z,
23, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T11:14:07.626000Z,
24, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T11:29:06.826000Z,
25, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T11:58:49.986000Z,
26, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T12:21:44.386000Z,
27, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T13:11:10.066000Z,
28, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T14:35:19.986000Z,
29, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T14:54:56.226000Z,
30, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T22:05:54.886000Z,
31, , ,UW, ,SQM,,48.073681,-123.048058,45.0, ,50.0,2011-06-25T00:00:00.006000Z, , , , , ,2011-06-25T23:38:04.686000Z,
