,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T00:06:33.526000Z
1, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T00:08:57.806000Z
2, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T01:09:04.766000Z
3, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T15:50:20.566000Z
4, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T15:53:18.966000Z
5, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T16:19:19.926000Z
6, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T16:42:47.226000Z
7, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T16:55:58.886000Z
8, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T17:03:02.126000Z
9, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T17:25:19.366000Z
10, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T17:40:42.946000Z
11, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:30:49.306000Z
12, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:33:45.486000Z
13, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:43:06.886000Z
14, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:49:21.026000Z
15, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:51:54.626000Z
16, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2011-11-08T00:00:00.006000Z, , , , , ,,2011-11-08T18:52:35.586000Z
