,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T09:35:07.780000Z
1, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T10:55:42.730000Z
2, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T12:06:28.970000Z
3, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T12:37:05.770000Z
4, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T13:12:44.440000Z
5, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T13:29:09.520000Z
6, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T15:31:10.440000Z
7, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T17:37:04.450000Z
8, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T19:17:17.170000Z
9, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T20:01:48.170000Z
10, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,,2011-02-17T20:02:09.730000Z
11, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T10:56:11.890000Z,
12, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T11:14:06.480000Z,
13, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T11:27:34.910000Z,
14, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T12:00:27.080000Z,
15, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T13:12:50.970000Z,
16, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T13:29:16.080000Z,
17, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T17:37:04.490000Z,
18, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T18:38:27.760000Z,
19, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T18:47:31.530000Z,
20, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T21:47:37.700000Z,
21, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2011-02-17T00:00:00.000000Z, , , , , ,2011-02-17T22:53:24.290000Z,
