,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:02:56.603000Z
1, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:07:17.083000Z
2, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:09:04.923000Z
3, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:10:28.823000Z
4, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:12:56.723000Z
5, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:14:49.723000Z
6, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:34:04.143000Z
7, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:34:34.263000Z
8, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:40:03.003000Z
9, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:50:17.983000Z
10, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T00:53:35.583000Z
11, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:11:37.723000Z
12, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:15:43.383000Z
13, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:18:42.163000Z
14, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:31:34.503000Z
15, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:43:24.083000Z
16, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:51:33.783000Z
17, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:51:56.903000Z
18, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:53:13.423000Z
19, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:56:38.963000Z
20, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T01:57:26.323000Z
21, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:00:00.083000Z
22, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:05:01.463000Z
23, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:07:00.983000Z
24, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:34:32.143000Z
25, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:41:26.643000Z
26, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T02:52:49.883000Z
27, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T03:01:46.243000Z
28, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T03:07:58.683000Z
29, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T03:13:08.563000Z
30, , ,7A, ,W02,,48.2593,-126.496803,-2133.0, ,50.0,2011-01-05T00:00:00.003000Z, , , , , ,,2011-01-05T03:18:01.763000Z
