,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T00:20:20.640000Z
1, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T00:25:25.940000Z
2, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T00:28:20.515000Z
3, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T00:29:06.640000Z
4, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T00:52:21.490000Z
5, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T01:16:38.865000Z
6, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T01:27:53.115000Z
7, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T01:36:53.915000Z
8, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T04:18:11.115000Z
9, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T08:30:50.840000Z
10, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T08:58:47.840000Z
11, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T12:30:02.290000Z
12, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T12:59:08.015000Z
13, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T13:16:15.365000Z
14, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T15:03:08.540000Z
15, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T15:20:22.840000Z
16, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T15:40:33.615000Z
17, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T15:49:24.990000Z
18, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T16:30:23.090000Z
19, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T16:33:27.415000Z
20, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T17:27:20.340000Z
21, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T17:34:58.365000Z
22, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T17:54:56.715000Z
23, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T18:00:03.165000Z
24, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T18:13:01.715000Z
25, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T18:22:18.440000Z
26, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T19:19:48.290000Z
27, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T20:00:59.940000Z
28, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T20:01:46.240000Z
29, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T20:10:40.215000Z
30, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,,2011-08-08T21:50:39.165000Z
31, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T00:19:45.765000Z,
32, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T03:43:52.040000Z,
33, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T04:15:42.640000Z,
34, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T07:30:24.265000Z,
35, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T09:01:56.765000Z,
36, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T15:03:18.065000Z,
37, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T19:23:36.440000Z,
38, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T19:50:02.965000Z,
39, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2011-08-08T00:00:00.015000Z, , , , , ,2011-08-08T20:02:00.015000Z,
