,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T00:46:53.230000Z
1, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T01:45:16.920000Z
2, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T08:09:22.140000Z
3, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T09:45:16.100000Z
4, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T12:12:48.790000Z
5, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T14:19:56.340000Z
6, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T15:14:00.340000Z
7, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T16:35:48.830000Z
8, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T16:48:48.380000Z
9, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T17:19:19.390000Z
10, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T19:18:28.360000Z
11, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T19:21:26.340000Z
12, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T19:58:38.700000Z
13, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T20:03:56.090000Z
14, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T21:18:39.650000Z
15, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,,2011-11-10T23:24:43.760000Z
16, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T00:16:33.370000Z,
17, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T01:18:06.670000Z,
18, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T08:09:34.280000Z,
19, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T13:55:35.580000Z,
20, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T14:46:33.930000Z,
21, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T15:47:30.410000Z,
22, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T16:49:40.560000Z,
23, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T17:27:45.530000Z,
24, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T18:55:12.190000Z,
25, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T19:18:29.480000Z,
26, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T19:34:31.400000Z,
27, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T19:49:40.140000Z,
28, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T20:36:36.470000Z,
29, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T20:40:56.980000Z,
30, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T21:01:01.300000Z,
31, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T21:09:45.700000Z,
32, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2011-11-10T00:00:00.000000Z, , , , , ,2011-11-10T23:49:38.730000Z,
