,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,,2016-06-04T00:35:56.690000Z
1, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T00:28:13.565000Z,
2, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T00:36:15.590000Z,
3, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T00:52:31.765000Z,
4, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T03:54:18.240000Z,
5, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T04:35:56.415000Z,
6, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T06:58:12.465000Z,
7, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T07:05:40.440000Z,
8, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T07:31:12.590000Z,
9, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T11:07:37.415000Z,
10, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T11:47:57.790000Z,
11, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T12:44:38.790000Z,
12, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T13:58:16.290000Z,
13, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2016-06-04T00:00:00.015000Z, , , , , ,2016-06-04T16:13:47.465000Z,
