,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,,2012-08-27T04:10:13.350000Z
1, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T02:05:00.525000Z,
2, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T04:10:27.875000Z,
3, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T05:21:50.725000Z,
4, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T05:56:55.475000Z,
5, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T06:27:47.600000Z,
6, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T09:56:09.100000Z,
7, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T13:09:16.575000Z,
8, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T13:42:49.775000Z,
9, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T15:38:24.500000Z,
10, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T15:48:39.650000Z,
11, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T16:01:31.225000Z,
12, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T16:15:38.575000Z,
13, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T18:16:06.650000Z,
14, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T18:17:46.250000Z,
15, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T18:27:55.225000Z,
16, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T19:29:47.600000Z,
17, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T22:25:13.300000Z,
18, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T23:16:03.250000Z,
19, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T23:42:22.650000Z,
