,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,,2012-11-26T09:49:40.025000Z
1, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T09:41:23.750000Z,
2, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T09:43:17.125000Z,
3, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T09:49:40.200000Z,
4, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T11:31:25.300000Z,
5, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T13:06:22.025000Z,
6, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T15:03:15.625000Z,
7, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T16:50:08.175000Z,
8, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T17:24:37.825000Z,
9, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T18:00:03.625000Z,
10, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T18:07:20.250000Z,
11, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T18:29:54.250000Z,
12, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T19:42:34.125000Z,
13, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T22:49:23.050000Z,
14, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-11-26T00:00:00.025000Z, , , , , ,2012-11-26T22:50:50.025000Z,
