,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,,2012-03-02T00:03:26.045000Z
1, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:04:04.093000Z,
2, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:09:35.677000Z,
3, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:10:40.437000Z,
4, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:29:02.693000Z,
5, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:29:18.957000Z,
6, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:33:41.837000Z,
7, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:39:02.053000Z,
8, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:41:45.837000Z,
9, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:58:53.861000Z,
10, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T00:59:11.701000Z,
11, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:00:29.501000Z,
12, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:00:42.413000Z,
13, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:03:53.581000Z,
14, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:12:06.541000Z,
15, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:13:49.797000Z,
16, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:14:14.469000Z,
17, , ,7D, ,FN08A,,46.888802,-124.8769,-177.0, ,125.0,2012-03-02T00:00:00.005000Z, , , , , ,2012-03-02T01:14:35.901000Z,
