,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,,2012-01-15T02:16:53.950000Z
1, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T00:07:24.125000Z,
2, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T00:56:32.025000Z,
3, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T01:00:32.425000Z,
4, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T02:17:00.250000Z,
5, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T02:18:22.325000Z,
6, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T02:25:00.050000Z,
7, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T03:04:56.050000Z,
8, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T03:25:34.225000Z,
9, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T09:47:42.450000Z,
10, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T13:31:36.875000Z,
11, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T15:22:10.775000Z,
12, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T15:35:33.525000Z,
13, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T16:49:51.325000Z,
14, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T20:26:30.800000Z,
15, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T20:36:42.425000Z,
16, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T22:39:32.100000Z,
17, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-01-15T00:00:00.000000Z, , , , , ,2012-01-15T22:56:58.675000Z,
