,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,,2012-09-22T00:02:13.774795Z
1, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T00:02:26.114795Z,
2, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T00:44:46.754795Z,
3, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T00:53:48.454795Z,
4, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T01:15:46.954795Z,
5, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T01:28:01.194795Z,
6, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T01:38:43.914795Z,
7, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T01:47:00.534795Z,
8, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T02:08:19.834795Z,
9, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T02:55:39.434795Z,
10, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T02:58:20.514795Z,
11, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T02:59:56.954795Z,
12, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:01:23.194795Z,
13, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:02:03.534795Z,
14, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:03:08.294795Z,
15, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:03:49.014795Z,
16, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:12:31.414795Z,
17, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:13:23.754795Z,
18, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:24:29.594795Z,
19, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T03:59:48.554795Z,
20, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T04:03:20.854795Z,
21, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T04:31:44.634795Z,
22, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T05:19:21.154795Z,
23, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T05:27:03.714795Z,
24, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T05:37:08.994795Z,
25, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T05:41:00.234795Z,
26, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T05:57:06.914795Z,
27, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T06:04:37.674795Z,
28, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T06:25:55.634795Z,
29, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T07:02:18.494795Z,
30, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T07:41:58.394795Z,
31, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T07:43:42.914795Z,
32, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T07:53:57.394795Z,
33, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T07:55:48.494795Z,
34, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T08:42:07.894795Z,
35, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T08:45:00.034795Z,
36, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T09:03:39.594795Z,
37, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T09:25:10.014795Z,
38, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T09:28:35.334795Z,
39, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T09:42:52.694795Z,
40, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T09:47:18.734795Z,
41, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T10:21:42.234795Z,
42, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T10:27:29.334795Z,
43, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T10:31:37.714795Z,
44, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T10:36:40.514795Z,
45, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T11:22:56.014795Z,
46, , ,7D, ,FS01B,,40.326801,-124.949203,-940.0, ,50.0,2012-09-22T00:00:00.014795Z, , , , , ,2012-09-22T11:42:29.634795Z,
