,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,,2012-10-26T00:16:56.738400Z
1, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T00:18:24.798400Z,
2, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T03:29:45.918400Z,
3, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T04:35:19.418400Z,
4, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T06:10:59.738400Z,
5, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T07:32:19.298400Z,
6, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T08:12:31.678400Z,
7, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T08:40:47.438400Z,
8, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T09:00:58.738400Z,
9, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T09:45:51.278400Z,
10, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T09:56:06.198400Z,
11, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T09:58:03.798400Z,
12, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:22:17.258400Z,
13, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:27:13.498400Z,
14, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:34:56.538400Z,
15, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:49:00.838400Z,
16, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:49:54.398400Z,
17, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T10:55:06.778400Z,
18, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T12:12:32.778400Z,
19, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T14:16:02.578400Z,
20, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T14:18:44.258400Z,
21, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T14:42:13.998400Z,
22, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T14:52:26.438400Z,
23, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T15:01:53.018400Z,
24, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T15:53:07.898400Z,
25, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T18:23:23.778400Z,
26, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T20:41:26.098400Z,
27, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T20:43:14.418400Z,
28, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T21:41:10.018400Z,
29, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T22:31:15.098400Z,
30, , ,7D, ,G35B,,42.5658,-126.055801,-2367.0, ,50.0,2012-10-26T00:00:00.018400Z, , , , , ,2012-10-26T22:50:39.938400Z,
