,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,,2012-04-25T00:16:57.475000Z
1, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T00:17:04.750000Z,
2, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T01:55:24.725000Z,
3, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T04:14:42.450000Z,
4, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T04:51:20.175000Z,
5, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T05:01:53.625000Z,
6, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T08:34:02.050000Z,
7, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T16:17:55.975000Z,
8, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T19:27:32.625000Z,
9, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T19:48:18.450000Z,
10, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T20:21:41.175000Z,
11, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2012-04-25T00:00:00.000000Z, , , , , ,2012-04-25T20:43:34.175000Z,
