,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,,2012-12-12T00:02:18.463500Z
1, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:09:34.999500Z,
2, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:10:30.447500Z,
3, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:10:42.655500Z,
4, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:11:16.303500Z,
5, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:13:25.615500Z,
6, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:16:04.335500Z,
7, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:18:13.591500Z,
8, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:25:06.327500Z,
9, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:38:22.575500Z,
10, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:40:51.087500Z,
11, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:50:59.255500Z,
12, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:54:04.695500Z,
13, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:54:35.415500Z,
14, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:57:58.135500Z,
15, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T00:59:34.807500Z,
16, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T01:02:23.903500Z,
17, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T01:05:11.863500Z,
18, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T01:15:08.127500Z,
19, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-12T00:00:00.007500Z, , , , , ,2012-12-12T01:17:06.967500Z,
