,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,,2012-02-17T00:18:15.424400Z
1, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T00:22:55.024400Z,
2, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T00:29:17.744400Z,
3, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T00:38:18.624400Z,
4, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T00:52:29.304400Z,
5, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T01:10:40.684400Z,
6, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T01:23:40.824400Z,
7, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T02:47:34.104400Z,
8, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T02:59:27.404400Z,
9, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T04:55:44.964400Z,
10, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T04:58:55.624400Z,
11, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T05:00:56.784400Z,
12, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T05:11:44.904400Z,
13, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T05:14:58.604400Z,
14, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T05:22:30.764400Z,
15, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T05:51:19.884400Z,
16, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T06:15:15.884400Z,
17, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T06:17:03.364400Z,
18, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T06:21:49.284400Z,
19, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T06:32:24.384400Z,
20, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T07:00:17.544400Z,
21, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T07:36:37.144400Z,
22, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T07:51:10.224400Z,
23, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T07:53:48.624400Z,
24, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T08:28:39.564400Z,
25, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T08:43:50.824400Z,
26, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T09:40:55.044400Z,
27, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T09:46:29.144400Z,
28, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T09:52:19.504400Z,
29, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T09:53:41.764400Z,
30, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T10:00:25.804400Z,
31, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T10:03:22.764400Z,
32, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T10:13:10.304400Z,
33, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T10:27:55.724400Z,
34, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T11:43:24.524400Z,
35, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T11:47:07.764400Z,
36, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T11:48:23.444400Z,
37, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T12:03:58.684400Z,
38, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T12:41:28.024400Z,
39, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T13:08:03.004400Z,
40, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T13:16:02.904400Z,
41, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T13:24:03.204400Z,
42, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T13:27:40.024400Z,
43, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:00:17.004400Z,
44, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:08:56.744400Z,
45, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:17:01.804400Z,
46, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:23:09.724400Z,
47, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:45:02.064400Z,
48, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T14:57:23.884400Z,
49, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T15:01:04.124400Z,
50, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T15:11:00.144400Z,
51, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T16:41:14.264400Z,
52, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T17:33:32.364400Z,
53, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T18:27:53.064400Z,
54, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T20:23:27.144400Z,
55, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T20:31:35.324400Z,
56, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T20:55:26.784400Z,
57, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T22:08:23.424400Z,
58, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T22:24:47.124400Z,
59, , ,7D, ,J33A,,45.106602,-124.570801,-348.7, ,50.0,2012-02-17T00:00:00.004400Z, , , , , ,2012-02-17T23:55:29.504400Z,
