,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,,2012-01-19T13:38:13.365000Z
1, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T00:10:19.415000Z,
2, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T00:37:39.040000Z,
3, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T01:37:39.840000Z,
4, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T01:42:51.990000Z,
5, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T01:44:47.590000Z,
6, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T03:00:31.065000Z,
7, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T04:59:41.940000Z,
8, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T05:17:28.490000Z,
9, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T06:49:29.715000Z,
10, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T07:27:19.590000Z,
11, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T07:36:04.065000Z,
12, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T08:04:47.065000Z,
13, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T08:15:02.040000Z,
14, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T08:42:53.615000Z,
15, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T09:22:40.865000Z,
16, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T11:15:46.790000Z,
17, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T12:09:41.040000Z,
18, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-01-19T00:00:00.015000Z, , , , , ,2012-01-19T12:42:08.140000Z,
