,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,,2012-04-13T00:46:48.290000Z
1, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T01:00:58.150000Z,
2, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T04:34:32.130000Z,
3, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T06:54:51.490000Z,
4, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T06:55:01.760000Z,
5, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T08:00:36.540000Z,
6, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T08:07:16.580000Z,
7, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T15:10:54.950000Z,
8, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T16:14:19.930000Z,
9, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T17:06:10.810000Z,
10, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T17:27:41.440000Z,
11, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T17:56:41.760000Z,
12, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T18:44:18.190000Z,
13, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T18:46:41.830000Z,
14, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T20:14:07.690000Z,
15, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-04-13T00:00:00.000000Z, , , , , ,2012-04-13T20:29:57.130000Z,
