,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,,2012-07-27T00:14:05.730000Z
1, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T02:37:10.010000Z,
2, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T03:00:59.820000Z,
3, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T05:46:33.700000Z,
4, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T06:01:08.020000Z,
5, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T10:11:46.300000Z,
6, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T10:13:41.190000Z,
7, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T12:09:38.400000Z,
8, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T12:34:34.960000Z,
9, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T22:32:13.160000Z,
10, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-07-27T00:00:00.000000Z, , , , , ,2012-07-27T22:59:57.100000Z,
