,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,,2012-10-07T00:44:20.170000Z
1, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T00:28:25.150000Z,
2, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T01:00:04.170000Z,
3, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T02:25:18.690000Z,
4, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T03:04:28.490000Z,
5, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T03:15:49.910000Z,
6, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T03:33:54.840000Z,
7, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T03:52:54.390000Z,
8, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T03:58:41.490000Z,
9, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T04:37:00.290000Z,
10, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T04:45:07.890000Z,
11, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T05:21:21.440000Z,
12, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T05:24:20.890000Z,
13, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T05:29:53.170000Z,
14, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T05:57:46.020000Z,
15, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T05:59:52.500000Z,
16, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:05:16.540000Z,
17, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:09:41.530000Z,
18, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:11:13.520000Z,
19, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:13:29.220000Z,
20, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:19:08.920000Z,
21, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:24:21.580000Z,
22, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:27:00.810000Z,
23, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:28:09.140000Z,
24, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:35:38.910000Z,
25, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:41:56.660000Z,
26, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T06:42:56.480000Z,
27, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:52:34.180000Z,
28, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:53:40.790000Z,
29, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:54:41.990000Z,
30, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:55:39.630000Z,
31, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:57:25.300000Z,
32, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:58:19.300000Z,
33, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:58:54.390000Z,
34, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T07:59:17.650000Z,
35, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T08:06:36.670000Z,
36, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T08:09:31.710000Z,
37, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T08:14:39.950000Z,
38, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T08:15:03.850000Z,
39, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T09:15:16.560000Z,
40, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T09:35:33.910000Z,
41, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T09:51:58.270000Z,
42, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T09:53:51.030000Z,
43, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T09:58:02.600000Z,
44, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T10:33:18.650000Z,
45, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T10:40:39.130000Z,
46, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T10:54:12.540000Z,
47, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T11:09:34.230000Z,
48, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T11:17:45.820000Z,
49, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T11:25:09.690000Z,
50, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T12:04:03.190000Z,
51, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T12:36:59.140000Z,
52, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:00:22.600000Z,
53, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:11:44.890000Z,
54, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:29:46.890000Z,
55, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:46:36.260000Z,
56, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:49:08.520000Z,
57, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T13:53:23.640000Z,
58, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T14:32:48.620000Z,
59, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T14:33:49.500000Z,
60, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T14:48:05.660000Z,
61, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T14:49:33.570000Z,
62, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T15:38:29.140000Z,
63, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-07T00:00:00.000000Z, , , , , ,2012-10-07T15:45:09.940000Z,
