,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,,2012-09-10T01:35:51.573700Z
1, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T10:48:05.893700Z,
2, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T12:19:52.503700Z,
3, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T12:20:00.843700Z,
4, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T16:00:37.143700Z,
5, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T17:13:37.983700Z,
6, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T18:51:11.913700Z,
7, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T21:06:42.333700Z,
8, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T21:31:02.293700Z,
9, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-09-10T00:00:00.003700Z, , , , , ,2012-09-10T22:34:32.663700Z,
