,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,,2012-07-02T00:13:50.624900Z
1, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T00:13:56.749900Z,
2, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T01:47:31.474900Z,
3, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T03:57:23.299900Z,
4, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T04:20:00.449900Z,
5, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T04:39:14.124900Z,
6, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T05:31:42.549900Z,
7, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T07:03:44.474900Z,
8, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T07:30:46.224900Z,
9, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T07:46:36.649900Z,
10, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T08:31:25.049900Z,
11, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T09:39:10.049900Z,
12, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T11:25:28.874900Z,
13, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T19:58:25.774900Z,
14, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T21:08:28.999900Z,
15, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T21:37:13.849900Z,
16, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-07-02T00:00:00.024900Z, , , , , ,2012-07-02T23:00:03.749900Z,
