,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,,2012-08-06T00:03:15.950000Z
1, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T00:03:20.875000Z,
2, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T02:33:36.150000Z,
3, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T02:48:07.800000Z,
4, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T05:16:11.350000Z,
5, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T13:07:33.800000Z,
6, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T15:18:03.700000Z,
7, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T15:55:18.925000Z,
8, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T17:18:31.175000Z,
9, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T20:34:41.200000Z,
10, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T21:15:52.450000Z,
11, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-08-06T00:00:00.000000Z, , , , , ,2012-08-06T23:20:00.275000Z,
