,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,,2012-05-09T00:23:54.223981Z
1, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T00:10:44.244102Z,
2, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T00:48:44.483754Z,
3, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T01:01:54.363633Z,
4, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T02:33:16.862797Z,
5, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T03:14:24.362420Z,
6, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T03:57:30.922025Z,
7, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T04:52:15.401524Z,
8, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T04:52:55.101518Z,
9, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T05:39:36.861091Z,
10, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T06:13:10.040784Z,
11, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T06:13:22.660782Z,
12, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T06:25:02.040675Z,
13, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T06:58:26.680369Z,
14, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T07:26:49.980109Z,
15, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T08:50:28.659343Z,
16, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T09:18:57.419083Z,
17, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T10:05:01.498661Z,
18, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T11:52:01.077681Z,
19, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T12:26:13.277368Z,
20, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T12:38:44.937253Z,
21, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T14:48:02.356070Z,
22, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T20:52:03.612737Z,
23, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T21:06:11.112608Z,
24, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T23:35:33.191240Z,
25, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T23:38:13.651216Z,
26, , ,7D, ,M01A,,49.150398,-126.722099,-132.9, ,50.00000762939453,2012-05-09T00:00:00.004200Z, , , , , ,2012-05-09T23:49:54.031109Z,
