,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,,2012-11-24T00:06:54.440766Z
1, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T00:57:29.740766Z,
2, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T01:21:03.160766Z,
3, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T02:12:50.080766Z,
4, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T04:03:13.980766Z,
5, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T04:23:52.960766Z,
6, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T04:27:05.100766Z,
7, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T04:41:58.280766Z,
8, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T06:12:12.680766Z,
9, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T06:30:20.060766Z,
10, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T06:49:33.500766Z,
11, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T08:29:09.220766Z,
12, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T08:31:17.960766Z,
13, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T09:58:49.340766Z,
14, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T10:58:24.500766Z,
15, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T11:36:13.140766Z,
16, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T13:09:31.180766Z,
17, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T13:12:08.780766Z,
18, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:06:24.700766Z,
19, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:08:14.280766Z,
20, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:09:38.840766Z,
21, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:12:16.060766Z,
22, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:24:01.320766Z,
23, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:36:17.420766Z,
24, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T14:53:41.980766Z,
25, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T15:01:56.960766Z,
26, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T15:06:34.420766Z,
27, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T15:16:51.260766Z,
28, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T18:20:03.800766Z,
29, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T18:44:09.940766Z,
30, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T18:45:38.520766Z,
31, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T18:51:20.620766Z,
32, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T19:33:59.620766Z,
33, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T21:10:23.080766Z,
34, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T21:51:56.560766Z,
35, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T22:13:45.980766Z,
36, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T22:39:44.020766Z,
37, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T23:26:46.320766Z,
38, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-11-24T00:00:00.000766Z, , , , , ,2012-11-24T23:42:31.980766Z,
