,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,,2012-08-29T00:07:10.950000Z
1, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T00:07:11.090000Z,
2, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T00:15:46.430000Z,
3, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T04:03:53.790000Z,
4, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T04:04:28.980000Z,
5, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T04:07:17.290000Z,
6, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T04:35:22.020000Z,
7, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T04:44:07.490000Z,
8, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T05:54:24.080000Z,
9, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T05:56:09.640000Z,
10, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T06:23:10.330000Z,
11, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T06:24:36.020000Z,
12, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T06:26:39.800000Z,
13, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T06:30:19.940000Z,
14, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T06:32:38.250000Z,
15, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T07:56:53.220000Z,
16, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T07:58:07.620000Z,
17, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T07:59:55.690000Z,
18, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T12:56:37.310000Z,
19, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T14:08:00.570000Z,
20, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T18:58:55.650000Z,
21, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T19:57:06.030000Z,
22, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T20:08:41.260000Z,
23, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T20:13:33.650000Z,
24, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T22:20:59.790000Z,
25, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T22:33:21.970000Z,
26, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T22:34:00.210000Z,
27, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-08-29T00:00:00.000000Z, , , , , ,2012-08-29T23:25:53.130000Z,
