,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,,2012-12-10T00:07:11.375000Z
1, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T00:34:10.300000Z,
2, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T01:32:31.975000Z,
3, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T01:35:34.675000Z,
4, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T02:46:55.725000Z,
5, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T03:16:55.850000Z,
6, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T04:28:40.625000Z,
7, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T05:21:18.025000Z,
8, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T05:39:45.775000Z,
9, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T09:11:52.950000Z,
10, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T12:46:09.325000Z,
11, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T16:09:51.325000Z,
12, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T16:40:27.425000Z,
13, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T17:04:41.775000Z,
14, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T19:25:02.525000Z,
15, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T20:09:45.600000Z,
16, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T20:11:24.350000Z,
17, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T20:36:51.900000Z,
18, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T20:47:37.675000Z,
19, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T22:20:08.125000Z,
20, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-12-10T00:00:00.000000Z, , , , , ,2012-12-10T22:37:42.350000Z,
