,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,,2012-05-11T00:04:47.077000Z
1, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T00:24:12.197000Z,
2, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T00:33:57.757000Z,
3, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T00:44:29.997000Z,
4, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:04:31.437000Z,
5, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:09:19.757000Z,
6, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:33:26.677000Z,
7, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:43:39.297000Z,
8, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:46:12.157000Z,
9, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T01:52:31.417000Z,
10, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T02:10:31.997000Z,
11, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T02:23:43.737000Z,
12, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T03:15:44.117000Z,
13, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T03:45:29.997000Z,
14, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T04:02:09.777000Z,
15, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T04:05:31.657000Z,
16, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T04:10:42.277000Z,
17, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T04:38:09.537000Z,
18, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T04:51:17.157000Z,
19, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:18:34.777000Z,
20, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:33:49.497000Z,
21, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:35:31.537000Z,
22, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:49:53.257000Z,
23, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:53:15.817000Z,
24, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T05:59:01.977000Z,
25, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T06:21:09.957000Z,
26, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T06:23:50.617000Z,
27, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T06:32:45.997000Z,
28, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T06:39:56.377000Z,
29, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T06:45:41.637000Z,
30, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T07:07:39.117000Z,
31, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T07:30:23.657000Z,
32, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T07:48:31.317000Z,
33, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T07:52:39.037000Z,
34, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T08:37:31.397000Z,
35, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T08:37:54.397000Z,
36, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T08:58:51.277000Z,
37, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T09:03:05.057000Z,
38, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T09:24:33.297000Z,
39, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T09:38:00.757000Z,
40, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T09:47:45.957000Z,
41, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T10:13:28.917000Z,
42, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T10:39:20.997000Z,
43, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T10:54:52.637000Z,
44, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T10:55:32.377000Z,
45, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T10:59:32.737000Z,
46, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:09:10.497000Z,
47, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:10:45.397000Z,
48, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:14:14.777000Z,
49, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:22:15.657000Z,
50, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:23:10.857000Z,
51, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:23:49.077000Z,
52, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:25:10.497000Z,
53, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:35:28.397000Z,
54, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:37:33.637000Z,
55, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:41:18.657000Z,
56, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:50:18.777000Z,
57, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:54:34.097000Z,
58, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T11:55:34.197000Z,
59, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T12:00:19.097000Z,
60, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T12:02:19.217000Z,
61, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T12:20:45.517000Z,
62, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T12:21:26.677000Z,
63, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T12:54:30.137000Z,
64, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T13:14:10.017000Z,
65, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T13:17:48.357000Z,
66, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T13:25:59.017000Z,
67, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T13:30:16.177000Z,
68, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T13:38:14.937000Z,
69, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T14:01:21.057000Z,
70, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T14:37:32.997000Z,
71, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T14:52:37.317000Z,
72, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T15:01:27.077000Z,
73, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T15:10:11.437000Z,
74, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T15:39:36.437000Z,
75, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T15:42:48.917000Z,
76, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T15:58:52.637000Z,
77, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T16:38:09.417000Z,
78, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-05-11T00:00:00.017000Z, , , , , ,2012-05-11T17:03:15.297000Z,
