,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,,2012-07-11T01:48:54.926000Z
1, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T06:36:59.186000Z,
2, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T07:24:28.626000Z,
3, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T08:41:08.226000Z,
4, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T14:13:58.346000Z,
5, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T14:54:08.246000Z,
6, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T15:31:39.646000Z,
7, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T15:42:57.786000Z,
8, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T16:00:52.746000Z,
9, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T16:04:04.206000Z,
10, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T16:28:24.786000Z,
11, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T16:45:02.566000Z,
12, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T17:05:15.306000Z,
13, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T17:48:50.346000Z,
14, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T17:50:48.466000Z,
15, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T17:53:07.466000Z,
16, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T20:09:08.846000Z,
17, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-07-11T00:00:00.006000Z, , , , , ,2012-07-11T21:56:11.626000Z,
