,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,,2012-02-23T00:29:09.020000Z
1, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T01:09:16.200000Z,
2, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T01:43:08.050000Z,
3, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T01:59:05.970000Z,
4, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T01:59:35.980000Z,
5, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:12:53.850000Z,
6, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:14:00.090000Z,
7, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:16:42.050000Z,
8, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:28:17.990000Z,
9, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:29:23.980000Z,
10, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:29:53.990000Z,
11, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:32:36.010000Z,
12, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:49:12.010000Z,
13, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:49:29.950000Z,
14, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T02:52:11.940000Z,
15, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:07:48.050000Z,
16, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:10:11.970000Z,
17, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:25:41.970000Z,
18, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:35:05.980000Z,
19, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:41:35.990000Z,
20, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:43:35.980000Z,
21, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T03:45:35.970000Z,
22, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T18:39:17.690000Z,
23, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T19:29:15.190000Z,
24, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T19:36:39.750000Z,
25, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T22:36:33.270000Z,
26, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T23:26:59.120000Z,
27, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-02-23T00:00:00.000000Z, , , , , ,2012-02-23T23:51:23.870000Z,
