,id,longitude,latitude,elevation
0,UW.FORK.,-124.5662,47.9475,44.9
1,7D.J73A.,-126.192497,48.7677,-143.3
2,7D.J65A.,-125.139603,47.8913,-165.2
3,UW.OFR.,-124.396042,47.933128,152.0
4,CN.OZB.,-125.4978,48.9612,626.0
5,CN.BMSB.,-125.1355,48.8356,10.0
6,7D.M01A.,-126.722099,49.150398,-132.9
14,CN.NTKA.,-126.6166,49.5924,12.0
15,7D.J73C.,-126.192596,48.767899,-133.0
16,7D.M01C.,-126.722198,49.150398,-138.0
18,7D.J65C.,-125.139801,47.8913,-169.0
19,CN.BFSB.,-125.136,48.8336,33.0
28,C8.TOFB.,-125.9078,49.1543,13.0
